,name,V,P,Distance,countPeople,Price
0,1355034.5913682277,1.5,107.0,251500.0,1.0,190000.0
1,3201701.2580348942,2.0,144.0,0.0,0.0,3290000.0
2,2775034.5913682277,1.5,176.0,527.0,1.0,2650000.0
3,1991701.2580348942,3.7,300.0,270636.0,3.0,1150000.0
4,2391367.9247015608,1.5,177.0,1109.0,1.0,2249000.0
5,1240034.5913682277,1.6,102.0,300000.0,4.0,110000.0
6,1358367.924701561,2.0,102.0,150000.0,4.0,400000.0
7,12108367.591368228,5.0,460.0,1600.0,1.0,23000000.0
8,1850701.2580348942,1.5,130.0,177534.0,0.0,1592000.0
9,2841034.5913682277,0.0,218.0,60000.0,1.0,2099000.0
10,1924701.2580348942,1.4,100.0,142000.0,2.0,1050000.0
11,2208367.9247015608,1.6,123.0,77000.0,1.0,1500000.0
12,5591701.258034894,1.5,156.0,15000.0,1.0,6500000.0
13,2308367.9247015608,1.4,145.0,33000.0,1.0,1500000.0
14,12775034.591368228,4.0,507.0,19992.0,2.0,16000000.0
15,1470034.5913682275,1.5,110.0,270000.0,4.0,450000.0
16,1461701.2580348942,1.8,150.0,226410.0,3.0,585000.0
17,8425034.591368228,3.4,409.0,0.0,0.0,19800000.0
18,1317034.5913682277,1.6,89.0,150000.0,4.0,176000.0
19,3157701.2580348942,0.0,171.0,73.0,1.0,2649000.0
20,2436051.8870523414,1.5,147.0,99146.0,1.0,1547000.0
21,1196701.2580348945,1.1,65.0,200000.0,3.0,65000.0
22,1905034.5913682275,3.5,257.0,350000.0,3.0,1100000.0
23,3183034.5913682277,5.4,300.0,316000.0,4.0,1700000.0
24,2368367.9247015608,1.5,147.0,0.0,0.0,1890000.0
25,1819034.5913682275,3.1,155.0,265000.0,4.0,500000.0
26,3682551.8870523414,2.0,194.0,101000.0,1.0,4040000.0
27,2308367.9247015608,1.4,180.0,129000.0,1.0,2100000.0
28,3306701.2580348942,0.0,340.0,15000.0,1.0,3600000.0
29,1309701.2580348945,1.5,112.0,133000.0,4.0,439000.0
30,5158034.591368227,1.5,487.0,0.0,0.0,6899000.0
31,4407701.258034894,2.0,220.0,0.0,0.0,4499000.0
32,1370034.5913682277,2.2,143.0,165000.0,3.0,450000.0
33,3518367.9247015608,3.0,340.0,90000.0,2.0,5500000.0
